,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
72,2023-04-24,190.67262775749526,168.9658627930521,225.72274031002533,190.67262775749526,190.67262775749526,4.8588158540057105,4.8588158540057105,4.8588158540057105,4.8588158540057105,4.8588158540057105,4.8588158540057105,0.0,0.0,0.0,195.53144361150098
73,2023-04-25,191.18673370930088,171.4234497168242,227.7636343943374,191.18673370930088,191.18673370930088,6.952789558967437,6.952789558967437,6.952789558967437,6.952789558967437,6.952789558967437,6.952789558967437,0.0,0.0,0.0,198.1395232682683
74,2023-04-26,191.7008396611065,171.96434820286268,227.30233964268038,191.7008396611065,191.7008396611065,6.403556996553353,6.403556996553353,6.403556996553353,6.403556996553353,6.403556996553353,6.403556996553353,0.0,0.0,0.0,198.10439665765986
75,2023-04-27,192.21494561291215,168.48707009435049,225.9649182242446,192.21494561291215,192.21494561291215,5.389365609314388,5.389365609314388,5.389365609314388,5.389365609314388,5.389365609314388,5.389365609314388,0.0,0.0,0.0,197.60431122222653
76,2023-04-28,192.7290515647178,170.7429789705476,227.41946233350035,192.7290515647178,192.7290515647178,5.867530937229574,5.867530937229574,5.867530937229574,5.867530937229574,5.867530937229574,5.867530937229574,0.0,0.0,0.0,198.59658250194735
77,2023-05-01,194.27136942013465,172.52183058497397,228.46445073074358,194.27136942013465,194.27136942013465,4.858815854005246,4.858815854005246,4.858815854005246,4.858815854005246,4.858815854005246,4.858815854005246,0.0,0.0,0.0,199.1301852741399
78,2023-05-02,194.78547537194027,175.09061204594735,230.41957434971687,194.78547537194027,194.78547537194027,6.952789558972313,6.952789558972313,6.952789558972313,6.952789558972313,6.952789558972313,6.952789558972313,0.0,0.0,0.0,201.73826493091258
79,2023-05-03,195.29958132374588,173.613045582502,230.7991661934893,195.29958132374588,195.29958132374588,6.403556996553261,6.403556996553261,6.403556996553261,6.403556996553261,6.403556996553261,6.403556996553261,0.0,0.0,0.0,201.70313832029913
80,2023-05-04,195.81368727555153,172.77018926151956,230.28282221874233,195.81368727555153,195.81368727555153,5.3893656092999045,5.3893656092999045,5.3893656092999045,5.3893656092999045,5.3893656092999045,5.3893656092999045,0.0,0.0,0.0,201.20305288485145
81,2023-05-05,196.4782010757217,173.6829153029134,232.56207511405975,196.4782010757217,196.4782010757217,5.867530937204532,5.867530937204532,5.867530937204532,5.867530937204532,5.867530937204532,5.867530937204532,0.0,0.0,0.0,202.34573201292622
